"External ID","Name","State","Country","Zip"
"__export__.res_city_19249_0f5e5162","BANDA DEL RIO SALI","base.state_ar_t","base.ar","410900"
"__export__.res_city_19250_e2c40174","BANDERA","base.state_ar_g","base.ar","306400"
"__export__.res_city_19251_c244d7c5","BANDERALO","base.state_ar_b","base.ar","624400"
"__export__.res_city_19252_c5cfc813","BANDERAS","base.state_ar_e","base.ar","319003"
"__export__.res_city_19253_3b6ac839","BANFIELD","base.state_ar_b","base.ar","182800"
"__export__.res_city_19255_30f353c1","BARADERO","base.state_ar_b","base.ar","294201"
"__export__.res_city_19254_80de1153","BARADERO","base.state_ar_b","base.ar","294200"
"__export__.res_city_19256_73a658c7","BARDA DEL MEDIO","base.state_ar_r","base.ar","830501"
"__export__.res_city_19257_9dfe19f1","BARKER","base.state_ar_b","base.ar","700500"
"__export__.res_city_19258_edcc0011","BARRACAS","base.state_ar_c","base.ar","127500"
"__export__.res_city_19259_32a37b77","BARRANCAS","base.state_ar_s","base.ar","224600"
"__export__.res_city_19260_b712e970","BARRANCAS","base.state_ar_q","base.ar","835301"
"__export__.res_city_19261_50e3605b","BARRANQUERAS","base.state_ar_h","base.ar","350300"
"__export__.res_city_19262_35b63f1e","BARRAQUERO","base.state_ar_m","base.ar","550900"
"__export__.res_city_19263_3a444636","BARREAL","base.state_ar_j","base.ar","540500"
"__export__.res_city_19264_4ed5d497","BARRIO ALBERDI","","base.ar","580003"
"__export__.res_city_19265_652e7d64","BARRIO BATAN","base.state_ar_b","base.ar","760100"
"__export__.res_city_19266_e905ec8c","BARRIO PARQUE LICEO","base.state_es_co","base.ar","501900"
"__export__.res_city_19267_64b72574","BARRIO RAWSON","base.state_ar_j","base.ar","542501"
"__export__.res_city_19268_68d4ace3","BARRIO RIVADAVIA","base.state_ar_j","base.ar","540003"
"__export__.res_city_19269_cf8d7a33","BARRIO SAN JOSE","base.state_ar_b","base.ar","183400"
"__export__.res_city_19270_a0ff50bb","BARRIO URCA","base.state_es_co","base.ar","500901"
"__export__.res_city_19271_b2c38bee","BARROS PAZOS","base.state_ar_s","base.ar","356901"
"__export__.res_city_19272_8889be50","BASABILBASO","base.state_ar_e","base.ar","317000"
"__export__.res_city_19273_227a1c1f","BASAIL","base.state_ar_h","base.ar","351603"
"__export__.res_city_19274_7def5ff3","BASUALDO","base.state_ar_e","base.ar","317001"
"__export__.res_city_19275_df5a30f7","BATAN","base.state_ar_b","base.ar","161200"
"__export__.res_city_19276_23bef77e","BAUER Y SIGEL","base.state_ar_s","base.ar","240300"
"__export__.res_city_19277_ca7b8cc5","BAYAUCA","base.state_ar_b","base.ar","607800"
"__export__.res_city_19246_7c76baa3","BAÑADO DE OVANTA","base.state_ar_k","base.ar","472302"
"__export__.res_city_19247_07394d4b","BAÑADO DE PAJA","base.state_es_co","base.ar","587100"
"__export__.res_city_19278_fa8b120d","BDO.LARROUDE/LA PAMPA","base.state_ar_l","base.ar","622001"
"__export__.res_city_19279_2f7e4d31","BEAZLEY","base.state_ar_d","base.ar","572100"
"__export__.res_city_19280_f85c2c1c","BECCAR","base.state_ar_b","base.ar","164300"
"__export__.res_city_19281_0dc4505c","BELEN","base.state_ar_k","base.ar","475000"
"__export__.res_city_19282_4df33cd1","BELL VILLE","base.state_es_co","base.ar","255000"
"__export__.res_city_19283_dcfa643e","BELLA ITALIA","base.state_ar_s","base.ar","230109"
"__export__.res_city_19287_385c62e7","BELLA VISTA","base.state_ar_w","base.ar","343200"
"__export__.res_city_19288_f08f43bb","BELLA VISTA","base.state_ar_w","base.ar","343201"
"__export__.res_city_19284_d889d70b","BELLA VISTA","base.state_ar_b","base.ar","166100"
"__export__.res_city_19285_3329b33c","BELLA VISTA","base.state_ar_b","base.ar","180000"
"__export__.res_city_19286_332d5f4c","BELLA VISTA","base.state_ar_t","base.ar","416800"
"__export__.res_city_19289_e9ba2944","BELTRAN","base.state_ar_g","base.ar","430800"
"__export__.res_city_19290_7cc393fd","BENAVIDEZ","base.state_ar_b","base.ar","162101"
"__export__.res_city_19291_6aeb6837","BENEGAS","base.state_ar_m","base.ar","550101"
"__export__.res_city_19292_08a0a469","BENGOLEA","base.state_es_co","base.ar","580701"
"__export__.res_city_19293_1d3b067c","BENITO JUAREZ","base.state_ar_b","base.ar","702000"
"__export__.res_city_19294_7c61ea8e","BENJAMIN GOULD","base.state_es_co","base.ar","266400"
"__export__.res_city_19295_6e0001a4","BERABEVU","base.state_ar_s","base.ar","263900"
"__export__.res_city_19297_a8b42860","BERAZATEGUI","base.state_ar_b","base.ar","188400"
"__export__.res_city_19296_6de2feb3","BERAZATEGUI","base.state_ar_b","base.ar","188000"
"__export__.res_city_19298_400b6a30","BERISSO","base.state_ar_b","base.ar","192300"
"__export__.res_city_19299_907cee0f","BERMEJO","base.state_ar_m","base.ar","553300"
"__export__.res_city_19300_9b45b82d","BERMUDEZ","base.state_ar_b","base.ar","607102"
"__export__.res_city_19301_53ad5b5f","BERNA","base.state_ar_s","base.ar","356900"
"__export__.res_city_19302_ee4c0b58","BERNAL","base.state_ar_b","base.ar","187600"
"__export__.res_city_19303_63b20485","BERNARDO DE IRIGOYEN","base.state_ar_s","base.ar","224800"
"__export__.res_city_19304_eb0c1e35","BERNARDO LARROUDE","base.state_ar_l","base.ar","622000"
"__export__.res_city_19305_c8a82999","BERNASCONI","base.state_ar_l","base.ar","820400"
"__export__.res_city_19306_2c0d47e2","BERNASCONI/LA PAMPA","base.state_ar_l","base.ar","820401"
"__export__.res_city_19307_d2838d3d","BERON DE ASTRADA","base.state_ar_w","base.ar","348100"
"__export__.res_city_19308_5e594cb9","BERON DE ASTRADA","base.state_ar_w","base.ar","348101"
"__export__.res_city_19309_80a9dd5d","BERRAONDO","base.state_ar_b","base.ar","812400"
"__export__.res_city_19310_c4e046a0","BERROTARAN","base.state_es_co","base.ar","581700"
"__export__.res_city_19311_5c34439c","BIALET MASSE","base.state_es_co","base.ar","515800"
"__export__.res_city_19312_f3028877","BIGAND","base.state_ar_s","base.ar","217700"
"__export__.res_city_19313_bbce4562","BLANDENGUES","base.state_ar_b","base.ar","603201"
"__export__.res_city_19314_3de8ff09","BLAQUIER","base.state_ar_b","base.ar","606500"
"__export__.res_city_19315_8e6fad4c","BOLIVAR","base.state_ar_b","base.ar","655000"
"__export__.res_city_19316_1dcc4a0f","BOMBAL","base.state_ar_s","base.ar","217900"
"__export__.res_city_19317_2a486255","BOMPLAND","base.state_ar_w","base.ar","323400"
"__export__.res_city_19318_c6316b57","BONIFACIO","base.state_ar_b","base.ar","643900"
"__export__.res_city_19319_55c70e4b","BORDENAVE","base.state_ar_b","base.ar","818700"
"__export__.res_city_19320_ce30afe6","BOSQUES","base.state_ar_b","base.ar","188900"
"__export__.res_city_19321_1200595b","BOUCHARDO","base.state_ar_b","base.ar","583600"
"__export__.res_city_19322_f2727d5e","BOULOGNE","base.state_ar_b","base.ar","160900"
"__export__.res_city_19323_c9062a9b","BOUQUET","base.state_ar_s","base.ar","252300"
"__export__.res_city_19324_0af1d508","BOUWER","base.state_es_co","base.ar","511901"
"__export__.res_city_19325_0d750cdd","BOVRIL","base.state_ar_e","base.ar","314200"
"__export__.res_city_19326_81c7e17f","BOWEN","base.state_ar_m","base.ar","563400"
"__export__.res_city_19327_5d534588","BRAGADO","base.state_ar_b","base.ar","664000"
"__export__.res_city_19328_8d123590","BRAGADO-BCO. LOCAL","","base.ar","664001"
"__export__.res_city_19329_0c11a5f3","BRINKMANN","base.state_es_co","base.ar","241900"
"__export__.res_city_19330_b510c59a","BUCHARDO","base.state_es_co","base.ar","622500"
